model,member,RMSE two-exp,RMSE three-exp,RMSE two-exp + osc,% change1,% change2
ACCESS-CM2,r1i1p1f1,0.0958135114071507,0.09581351140875066,0.0888563639562056,0.0,-7.261
ACCESS-ESM1-5,r1i1p1f1,0.12689772378336397,0.11371053513437938,0.11099354370942863,-10.392,-2.389
ACCESS-ESM1-5,r2i1p1f1,0.10413949364061112,0.10097833521334534,0.10185861498286183,-3.036,0.872
AWI-CM-1-1-MR,r1i1p1f1,0.12450214964585224,0.1176674534310529,0.11788812862320174,-5.49,0.188
BCC-CSM2-MR,r1i1p1f1,0.09248300993675306,0.07642269178556764,0.07786761911700955,-17.366,1.891
BCC-ESM1,r1i1p1f1,0.0748757984031877,0.06445622396408732,0.06708732305397792,-13.916,4.082
CAMS-CSM1-0,r1i1p1f1,0.08287314925450966,0.07145002000608974,0.07146056695496457,-13.784,0.015
CAMS-CSM1-0,r2i1p1f1,0.08696123762698418,0.08369522726205551,0.08421420895555846,-3.756,0.62
CAS-ESM2-0,r1i1p1f1,0.09710694865036765,0.08782936929782807,0.08471333901449751,-9.554,-3.548
CESM2,r1i1p1f1,0.08777654189184414,0.0749663956046253,0.07822468024233606,-14.594,4.346
CESM2-FV2,r1i1p1f1,0.13113657513492907,0.12155087629823495,0.11552431488202185,-7.31,-4.958
CESM2-WACCM,r1i1p1f1,0.08637933141397848,0.08109080680974655,0.07856946967342707,-6.122,-3.109
CESM2-WACCM-FV2,r1i1p1f1,0.11811371188023356,0.11541200966661606,0.10827893170672052,-2.287,-6.181
CIESM,r1i1p1f1,0.1108086892265076,0.09603047133229545,0.09050916253631412,-13.337,-5.75
CMCC-CM2-SR5,r1i1p1f1,0.15343975779086966,0.1521938351303451,0.1531994267162071,-0.812,0.661
CMCC-ESM2,r1i1p1f1,0.16740159484923328,0.16201256606002953,0.1654426444489414,-3.219,2.117
CNRM-CM6-1,r1i1p1f2,0.11108695761189194,0.09663661244646858,0.09659004001418463,-13.008,-0.048
CNRM-CM6-1-HR,r1i1p1f2,0.111238378182651,0.07934673842122682,0.0764673151549503,-28.67,-3.629
CNRM-ESM2-1,r1i1p1f2,0.11965331393847414,0.11965331395791647,0.11466440899613548,0.0,-4.169
CNRM-ESM2-1,r2i1p1f2,0.10066731775714635,0.10066731777345493,0.09623370029847422,0.0,-4.404
CNRM-ESM2-1,r3i1p1f2,0.0963113619872496,0.09631136198734055,0.09387489936924585,0.0,-2.53
CanESM5,r1i1p1f1,0.11252003208402048,0.09257399776638184,0.09639552891334449,-17.727,4.128
CanESM5,r1i1p2f1,0.116974055733108,0.0922016682287577,0.09165485453456888,-21.178,-0.593
E3SM-1-0,r1i1p1f1,0.14397036560680068,0.12463273405529599,0.14043565651664633,-13.432,12.68
EC-Earth3,r3i1p1f1,0.15328614369578553,0.1465931959816546,0.14086791329106235,-4.366,-3.906
EC-Earth3,r8i1p1f1,0.13443668348232987,0.134253955730882,0.13277824926803866,-0.136,-1.099
EC-Earth3-AerChem,r1i1p1f1,0.13832856855214004,0.13716154693221796,0.13391678213361297,-0.844,-2.366
EC-Earth3-CC,r1i1p1f1,0.14245215377208045,0.13888177890843964,0.14186832414331743,-2.506,2.15
EC-Earth3-Veg,r1i1p1f1,0.13772803128155509,0.13438777817228723,0.13585345177890654,-2.425,1.091
FGOALS-f3-L,r1i1p1f1,0.12933629955517345,0.12082514990303377,0.1250809858272158,-6.581,3.522
FGOALS-f3-L,r2i1p1f1,0.12765701658734188,0.12223895317381797,0.12647955237853806,-4.244,3.469
FGOALS-f3-L,r3i1p1f1,0.11526071654372924,0.10809978911119024,0.1085465343111896,-6.213,0.413
FGOALS-g3,r1i1p1f1,0.07254053333201288,0.07162292763577752,0.0718305647325278,-1.265,0.29
GFDL-CM4,r1i1p1f1,0.11315080877354254,0.10769833351399519,0.10713832054958405,-4.819,-0.52
GFDL-ESM4,r1i1p1f1,0.08969785773742617,0.08432229830704471,0.08965689360406204,-5.993,6.326
GISS-E2-1-G,r102i1p1f1,0.14682115593256187,0.14641795505566363,0.1340832219572265,-0.275,-8.424
GISS-E2-1-G,r1i1p1f1,0.12890692588892344,0.12859923101646428,0.11852247614658758,-0.239,-7.836
GISS-E2-1-G,r1i1p3f1,0.15775664874761447,0.15727353087504722,0.14974735580015086,-0.306,-4.785
GISS-E2-1-G,r1i1p5f1,0.18525156547132937,0.1793249978528965,0.1713173149234677,-3.199,-4.465
GISS-E2-1-H,r1i1p1f1,0.12162539139929326,0.11243321736559728,0.11231069362635702,-7.558,-0.109
GISS-E2-1-H,r1i1p3f1,0.12299494580224861,0.12082558968865255,0.12299494477285221,-1.764,1.795
GISS-E2-1-H,r1i1p5f1,0.14112469981877382,0.12949301317920603,0.13059323019020463,-8.242,0.85
GISS-E2-2-G,r1i1p1f1,0.10289884173836769,0.1007844603789139,0.10075649739281582,-2.055,-0.028
GISS-E2-2-H,r1i1p1f1,0.0937580222831353,0.08663628652455935,0.08642693620736308,-7.596,-0.242
HadGEM3-GC31-LL,r1i1p1f3,0.10896813764882497,0.09828233613672088,0.09877562354652238,-9.806,0.502
HadGEM3-GC31-MM,r1i1p1f3,0.1429658646314731,0.09185299185009876,0.08886152840272547,-35.752,-3.257
ICON-ESM-LR,r1i1p1f1,0.15808246462654163,0.13974390360019157,0.12997370197618005,-11.601,-6.992
IITM-ESM,r1i1p1f1,0.10551748768088455,0.0993078293226609,0.10192360968890883,-5.885,2.634
INM-CM4-8,r1i1p1f1,0.06791578892372017,0.05729917315074497,0.06321317334842921,-15.632,10.321
INM-CM5-0,r1i1p1f1,0.08741056887137498,0.0773205145628961,0.07884696097816878,-11.543,1.974
IPSL-CM5A2-INCA,r1i1p1f1,0.1233109901270969,0.11447628400141999,0.11440761029447845,-7.165,-0.06
IPSL-CM6A-LR,r1i1p1f1,0.15010175284696636,0.12207444259716198,0.11878905500239022,-18.672,-2.691
KIOST-ESM,r1i1p1f1,0.11531013946745255,0.1075360497026299,0.09153877645913493,-6.742,-14.876
MIROC-ES2L,r1i1p1f2,0.15940340001532247,0.15485063036316507,0.15598030648169994,-2.856,0.73
MIROC6,r1i1p1f1,0.1670670951652792,0.16386804328707635,0.16342704929534935,-1.915,-0.269
MPI-ESM-1-2-HAM,r1i1p1f1,0.10814128528976404,0.08889093723478372,0.08929534449033093,-17.801,0.455
MPI-ESM1-2-HR,r1i1p1f1,0.07867979411903483,0.0761619738397901,0.07782631152238821,-3.2,2.185
MPI-ESM1-2-LR,r1i1p1f1,0.12949833478384343,0.1192596144480235,0.11754802081092826,-7.906,-1.435
MRI-ESM2-0,r10i1p1f1,0.11766124468313824,0.11556625187513646,0.09864259044782797,-1.781,-14.644
MRI-ESM2-0,r13i1p1f1,0.10148320262356997,0.09864161640748136,0.08793727741545244,-2.8,-10.852
MRI-ESM2-0,r1i1p1f1,0.10265036106905566,0.1020204937581104,0.0852173750356365,-0.614,-16.47
MRI-ESM2-0,r1i2p1f1,0.11146831934045935,0.10899115901010713,0.08314013968123929,-2.222,-23.718
MRI-ESM2-0,r4i1p1f1,0.10419899251712957,0.1011171723842961,0.09693425591737179,-2.958,-4.137
MRI-ESM2-0,r7i1p1f1,0.11110511804171243,0.10098205841020909,0.09373920576285007,-9.111,-7.172
NESM3,r1i1p1f1,0.10353414401919189,0.088020365036644,0.08802556182312266,-14.984,0.006
NorCPM1,r1i1p1f1,0.09120490433731368,0.09120490490032859,0.09035197447923769,0.0,-0.935
NorESM2-LM,r1i1p1f1,0.17536976115442543,0.17536976124250586,0.16181889438370015,0.0,-7.727
NorESM2-MM,r1i1p1f1,0.17186770780914784,0.17186770376613106,0.1715297429172543,-0.0,-0.197
SAM0-UNICON,r1i1p1f1,0.12719541677531607,0.12719541685966718,0.11052101870282931,0.0,-13.109
TaiESM1,r1i1p1f1,0.1452699872987383,0.11656224798685139,0.10317563500154736,-19.762,-11.485
UKESM1-0-LL,r1i1p1f2,0.11118359080088011,0.10214885155361687,0.10801001504725874,-8.126,5.738
